Old Family #,Family Name,Looked at?,Variation,Algo ID,Algorithm Description,Final Call,Exact Problem Statement?,Exact?,Time Complexity (Average),Average Case Distribution,Reference?,,Algorithm Name,Year,Paper/Reference Link,Constants,Derived?,Paper Reference for Constants,Time Complexity Improvement?,Transition Class,Time Complexity Class,Param: Time Class,Total Communication,Units of Communication (eg messages vs bits),Total Comm Refrence,Communication Rounds,Rounds Refrence,Computation Time Complexity,Time Refrence,Parameter definitions,Preferred Parameter,Computational Model,Asynchronous or Scyncronous?,Randomized?,"Type of Randomized Algorithm (e.g. Las Vegas, Monte Carlo, Atlantic City)",Approximate?,Approximation Factor (if approximate algorithm),Lower Bound Runtime,Lower Bound Reference,Heuristic-based?,Quantum?,GPU-based?,Other References,"Algorithm family
parameters",Description of Inputs,Upper Bound Runtime,Ratios of input parameter sizes,Space n = 1000 value,Space n = 1000 rate,Space n = 10^6 value,Space n = 10^6 rate,Space n = 10^9 value,Space n = 10^9 rate,n = 1000 value,n = 1000 scale,n = 1000 Rate,n = 10^6 value,n = 10^6 scale,n = 10^6 Rate,n = 10^9 value,n = 10^9 scale,n = 10^9 Rate,Starting Complexity,Remarks,Domains
,Minimum Dominating Set,,k-dominating set of size at most n/(k+1),,Find a set S such that every node is either in S or adjacent to a node in S,,,,,,,,,1995,https://dl.acm.org/doi/pdf/10.1145/224964.224990,,,,,,,,,,,O(klog*(n)),,,,,,LOCAL,,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Minimum Dominating Set,,1+epsilon approximation,,Find a set S such that every node is either in S or adjacent to a node in S,,,,,,,,,2020,https://dl.acm.org/doi/pdf/10.1145/3357713.3384298,,,,,,,,,,,poly(log(n)/epsilon),,exponential .. problem is NP-complete,https://dl.acm.org/doi/pdf/10.1145/3357713.3384298,,,LOCAL,,No,,Yes,1+epsilon,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Spanner,,"(2k-1,0,O(n^(1+1/k)+kn))",,Finding a subgraph such that shortest paths are stretched,,,,,,,[https://onlinelibrary.wiley.com/doi/abs/10.1002/rsa.20130  (2006)],,2006,https://onlinelibrary.wiley.com/doi/abs/10.1002/rsa.20130,,,,,,,,,,,O(k),,,,,,CONGEST,,Yes,LV,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Spanner,,"(3,0,O(n^(3/2)))",,Finding a subgraph such that shortest paths are stretched,,,,,,,[https://link.springer.com/chapter/10.1007/978-3-540-75142-7_16  (2007)],,2007,https://link.springer.com/chapter/10.1007/978-3-540-75142-7_16,,,,,,,,,,,O(log(n)),,,,,,LOCAL,,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Spanner,,"(O(k),0,O(kn^(1+1/k)))",,Finding a subgraph such that shortest paths are stretched,,,,,,,[https://link.springer.com/chapter/10.1007/978-3-540-75142-7_16  (2007)],,2007,https://link.springer.com/chapter/10.1007/978-3-540-75142-7_16,,,,,,,,,,,2^O(k)log^(k-1)(n),,,,,,LOCAL,,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Spanner,,"(1+epsilon,8log(n),O(n^3/2))",,Finding a subgraph such that shortest paths are stretched,,,,,,,[https://link.springer.com/chapter/10.1007/978-3-540-75142-7_16  (2007)],,2007,https://link.springer.com/chapter/10.1007/978-3-540-75142-7_16,,,,,,,,,,,O(log(n)/epsilon),,,,,,LOCAL,,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Spanner,,"(1+epsilon,4,O(n^3/2))",,Finding a subgraph such that shortest paths are stretched,,,,,,,[https://link.springer.com/chapter/10.1007/978-3-540-75142-7_16  (2007)],,2007,https://link.springer.com/chapter/10.1007/978-3-540-75142-7_16,,,,,,,,,,,2^O(sqrt(log(n)))+O(1/epsilon),,,,,,LOCAL,,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Spanner,,"(1+epsilon,4,O(n^3/2))",,Finding a subgraph such that shortest paths are stretched,,,,,,,[https://link.springer.com/chapter/10.1007/978-3-540-75142-7_16  (2007)],,2007,https://link.springer.com/chapter/10.1007/978-3-540-75142-7_16,,,,,,,,,,,O(1/epsilon+log(n)),,,,,,LOCAL,,Yes,LV,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Spanner,,"(2k-1,0,O(kn^(1+1/k)))",,Finding a subgraph such that shortest paths are stretched,,,,,,,[https://dl.acm.org/doi/abs/10.1145/1400751.1400788  (2008)],,2008,https://dl.acm.org/doi/abs/10.1145/1400751.1400788,,,,,,,,,,,k,,,,,,LOCAL,,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Spanner,,"(1+epsilon,2,O(n^(3/2)/epsilon))",,Finding a subgraph such that shortest paths are stretched,,,,,,,[https://dl.acm.org/doi/abs/10.1145/1400751.1400788  (2008)],,2008,https://dl.acm.org/doi/abs/10.1145/1400751.1400788,,,,,,,,,,,O(1/epsilon),,,,,,LOCAL,,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Spanner,,"(3,2,O(n^(3/2)))",,Finding a subgraph such that shortest paths are stretched,,,,,,,[https://www.sciencedirect.com/science/article/pii/S0304397508001138  (2008)],,2008,https://www.sciencedirect.com/science/article/pii/S0304397508001138,,,,,,,,,,,2^O(sqrt(log(n))),,,,,,LOCAL,,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Spanner,,"(2k-1,0,kn^(1+1/k))",,Finding a subgraph such that shortest paths are stretched,,,,,,,[https://link.springer.com/chapter/10.1007/978-3-642-04355-0_20  (2009)],,2009,https://link.springer.com/chapter/10.1007/978-3-642-04355-0_20,,,,,,,,,,,k,,,,,,LOCAL,,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Spanner,,"(1+epsilon,2-epsilon,O(n^3/2))",,Finding a subgraph such that shortest paths are stretched,,,,,,,[https://link.springer.com/chapter/10.1007/978-3-642-04355-0_20  (2009)],,2009,https://link.springer.com/chapter/10.1007/978-3-642-04355-0_20,,,,,,,,,,,O(1),,,,,,LOCAL,,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Spanner,,"(1+epsilon,O(1/epsilon)^(k-2),O(epsilon^(1-k)n^(1+1/k)))",,Finding a subgraph such that shortest paths are stretched,,,,,,,[https://link.springer.com/chapter/10.1007/978-3-642-04355-0_20  (2009)],,2009,https://link.springer.com/chapter/10.1007/978-3-642-04355-0_20,,,,,,,,,,,O(1),,,,,,LOCAL,,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Spanner,,"(1+epsilon,6-epsilon,O(n^(4/3)/epsilon))",,Finding a subgraph such that shortest paths are stretched,,,,,,,[https://link.springer.com/chapter/10.1007/978-3-642-04355-0_20  (2009)],,2009,https://link.springer.com/chapter/10.1007/978-3-642-04355-0_20,,,,,,,,,,,O tilde(1),,,,,,LOCAL,,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,"O tilde(1) because the complexity of MIS was improved to that after the paper was published .. at the time the paper was published, MIS was only known to be subpolynomial",
,Spanner,,"(k,k-1,O(kn^(1+1/k)))",,Finding a subgraph such that shortest paths are stretched,,,,,,,[https://dl.acm.org/doi/abs/10.1145/1868237.1868242  (2010)],,2010,https://dl.acm.org/doi/abs/10.1145/1868237.1868242,,,,,,,,,,,O(k),,,,,,LOCAL,,Yes,LV,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Spanner,,"(0,2,O(n^(3/2)log(n)))",,Finding a subgraph such that shortest paths are stretched,,,,,,,[https://dl.acm.org/doi/abs/10.1145/2484239.2484262  (2013)],,2013,https://dl.acm.org/doi/abs/10.1145/2484239.2484262,,,,,,,,,,,O(sqrt(n)log(n)+D),,,,,,CONGEST,,Yes,LV,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Spanner,,"(2k-1,0,O tilde(kn^(1+1/k)))",,Finding a subgraph such that shortest paths are stretched,,,,,,,,,2018,https://arxiv.org/pdf/1805.05404.pdf,,,,,,,,,,,O(log(k)),,,,,,CONGESTED CLIQUE,,Yes,LV,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Spanner,,"(2k-1,0,O tilde(kn^(1+1/k))))",,Finding a subgraph such that shortest paths are stretched,,,,,,,,,2018,https://arxiv.org/pdf/1805.05404.pdf,,,,,,,,,,,O(log(k)+loglogn^3),,,,,,CONGESTED CLIQUE,,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Spanner,,"(O(k),0,O(kn^(1+1/k)))",,Finding a subgraph such that shortest paths are stretched,,,,,,,,,2018,https://arxiv.org/pdf/1805.05404.pdf,,,,,,,,,,,O(log(k)),,,,,,CONGESTED CLIQUE,,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Spanner,,"(0,6,O((nlog(n))^(4/3)))",,Finding a subgraph such that shortest paths are stretched,,,,,,,[https://www.sciencedirect.com/science/article/abs/pii/S0304397520303194  (2020)],,2020,https://www.sciencedirect.com/science/article/abs/pii/S0304397520303194,,,,,,,,,,,O(n^2/3/log(n)^1/3+D),,,,,,CONGEST,,Yes,LV,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Spanner,,"(O(k),0,O(n^(1+1/k)))",,Finding a subgraph such that shortest paths are stretched,,,,,,,[https://dl.acm.org/doi/abs/10.1145/3465084.3467928  (2021)],,2021,https://dl.acm.org/doi/abs/10.1145/3465084.3467928,,,,,,,,,,,O(1),,,,,,CONGESTED CLIQUE,,Yes,LV,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Spanner,,"(2k-1,0,O(n^(1+1/k)))",,Finding a subgraph such that shortest paths are stretched,,,,,,,[https://dl.acm.org/doi/pdf/10.1145/3519270.3538439  (2022)],,2022,https://dl.acm.org/doi/pdf/10.1145/3519270.3538439,,,,,,,,,,,O(1),,,,,,CONGESTED CLIQUE,,Yes,LV,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Shortest Path,1,Assumes polynomially bounded integer edge weights,,"Find the shortest path from node A to node B .. better approximation algorithms than exact ones, so look into those first",,,,,,,[https://www.ams.org/journals/qam/1958-16-01/S0033-569X-1958-0102435-2/S0033-569X-1958-0102435-2.pdf  (1958)],,1958,https://www.ams.org/journals/qam/1958-16-01/S0033-569X-1958-0102435-2/S0033-569X-1958-0102435-2.pdf,,,,,,,,,,,O(n),https://www.ams.org/journals/qam/1958-16-01/S0033-569X-1958-0102435-2/S0033-569X-1958-0102435-2.pdf,,,n: number of graph nodes,,CONGEST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Shortest Path,1,Assumes polynomially bounded integer edge weights,,"Find the shortest path from node A to node B .. better approximation algorithms than exact ones, so look into those first",,,,,,,[https://dl.acm.org/doi/pdf/10.1145/3055399.3055452  (2017)],,2017,https://dl.acm.org/doi/pdf/10.1145/3055399.3055452,,,,,,,,,,,"O((n logn)^5/6 ) for D = O(sqrt(n logn)), O(D^1/3 (n logn)^2/3) for larger D
",https://dl.acm.org/doi/pdf/10.1145/3055399.3055452,,,"n: number of graph nodes
D: graph diameter",,CONGEST,,Yes,Las Vegas,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Shortest Path,1,Assumes polynomially bounded integer edge weights,,"Find the shortest path from node A to node B .. better approximation algorithms than exact ones, so look into those first",,,,,,,"[S. Forster and D. Nanongkai, ""A Faster Distributed Single-Source Shortest Paths Algorithm,"" 2018 IEEE 59th Annual Symposium on Foundations of Computer Science (FOCS), Paris, France, 2018, pp. 686-697, doi: 10.1109/FOCS.2018.00071.
  (2017)]",,2017,"S. Forster and D. Nanongkai, ""A Faster Distributed Single-Source Shortest Paths Algorithm,"" 2018 IEEE 59th Annual Symposium on Foundations of Computer Science (FOCS), Paris, France, 2018, pp. 686-697, doi: 10.1109/FOCS.2018.00071.
",,,,,,,,,,,O tilda (sqrt(nD)),https://dl.acm.org/doi/pdf/10.1145/3055399.3055452,,,"n: number of graph nodes
D: graph diameter",,CONGEST,,Yes,Las Vegas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Shortest Path,1,Assumes polynomially bounded integer edge weights,,"Find the shortest path from node A to node B .. better approximation algorithms than exact ones, so look into those first",,,,,,,"[S. Forster and D. Nanongkai, ""A Faster Distributed Single-Source Shortest Paths Algorithm,"" 2018 IEEE 59th Annual Symposium on Foundations of Computer Science (FOCS), Paris, France, 2018, pp. 686-697, doi: 10.1109/FOCS.2018.00071.
  (2017)]",,2017,"S. Forster and D. Nanongkai, ""A Faster Distributed Single-Source Shortest Paths Algorithm,"" 2018 IEEE 59th Annual Symposium on Foundations of Computer Science (FOCS), Paris, France, 2018, pp. 686-697, doi: 10.1109/FOCS.2018.00071.
",,,,,,,,,,,O tilda (sqrt(n) D^1/4 + n^3/5 + D),https://dl.acm.org/doi/pdf/10.1145/3055399.3055452,,,"n: number of graph nodes
D: graph diameter",,CONGEST,,Yes,Las Vegas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Expander Decomposition,0.001,phi=1/n^o(1),,Find a decomposition of the graph into clusters with good mixing time and a constant fraction of inter-cluster edges,,,,,,,[https://ieeexplore.ieee.org/abstract/document/9317987  (2020)],,2020,https://ieeexplore.ieee.org/abstract/document/9317987,,,,,,,,,,,n^o(1),,,,,,,,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Expander Decomposition,,phi=1/polylog(n),,Find a decomposition of the graph into clusters with mixing time O(polylog(n)) and a constant fraction of inter-cluster edges,,,,,,,[https://ieeexplore.ieee.org/abstract/document/9317987  (2020)],,2020,https://ieeexplore.ieee.org/abstract/document/9317987,,,,,,,,,,,O(polylog(n)),,,,,,,,Yes,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Routing,,,,Nodes want to send messages to eachother such that node v sends and receives O(deg(v)) messages .. route them quickly through the network,,,,,,,[https://dl.acm.org/doi/pdf/10.1145/1993636.1993639  (2011)],,2011,https://dl.acm.org/doi/pdf/10.1145/1993636.1993639,,,,,,,,,,,O(1),,,,,,CONGESTED CLIQUE,,Yes,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Routing,,,,Nodes want to send messages to eachother such that node v sends and receives O(deg(v)) messages .. route them quickly through the network,,,,,,,[https://dl.acm.org/doi/abs/10.1145/2484239.2501983  (2013)],,2013,https://dl.acm.org/doi/abs/10.1145/2484239.2501983,,,,,,,,,,,O(1),,,,,,CONGESTED CLIQUE,,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Routing,,,,Nodes want to send messages to eachother such that node v sends and receives O(deg(v)) messages .. route them quickly through the network,,,,,,,[https://dl.acm.org/doi/abs/10.1145/3087801.3087827  (2017)],,2017,https://dl.acm.org/doi/abs/10.1145/3087801.3087827,,,,,,,,,,,2^O(sqrt(log(n)loglog(n)))*Tmix(G),,,,Tmix(G): the mixing time of the communication graph,,CONGEST,,Yes,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Routing,,,,Nodes want to send messages to eachother such that node v sends and receives O(deg(v)) messages .. route them quickly through the network,,,,,,,[https://arxiv.org/abs/1805.04764  (2018)],,2018,https://arxiv.org/abs/1805.04764,,,,,,,,,,,2^O(sqrt(log(n)))*Tmix(G),,,,Tmix(G): the mixing time of the communication graph,,CONGEST,,Yes,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Matrix Multiplication,,,,Multiply 2 matrices where the ith node has the ith row of each matrix and wants to get the ith node of the product,,,,,,,,,2014,https://people.csail.mit.edu/andyd/cong_clique_podc14.pdf,,,,,,,,,,,O(n^(w-2)),,,,w - exponent of matrix multiplication,,CONGESTED CLIQUE,,Yes,LV,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Matrix Multiplication,,,,Multiply 2 matrices where the ith node has the ith row of each matrix and wants to get the ith node of the product,,,,,,,,,2015,https://arxiv.org/abs/1503.04963,,,,,,,,,,,O(n^(1-2/w)),,,,w - exponent of matrix multiplication,,CONGESTED CLIQUE,,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Triangle Listing/Enumeration,1,,,List all the triangles in the graph such that any triangle can be listed by any node,,,,,,,[https://arxiv.org/pdf/1201.6652.pdf  (2012)],,2012,https://arxiv.org/pdf/1201.6652.pdf,,,,,,,,,,,O(n^(1/3)/log(n)),,,,,,CONGESTED CLIQUE,,Yes,LV,No,,omega(n^(1/3)/log(n)),https://arxiv.org/abs/1705.09061,,,,,,,,,,,,,,,,,,,,,,,,,,
,Triangle Listing/Enumeration,1,,,List all the triangles in the graph such that any triangle can be listed by any node,,,,,,,[https://arxiv.org/abs/1705.09061  (2017)],,2017,https://arxiv.org/abs/1705.09061,,,,,,,,,,,O(n^(3/4)log(n)),,,,,,CONGEST,,Yes,LV,No,,omega(n^(1/3)/log(n)),https://arxiv.org/abs/1705.09061,,,,,,,,,,,,,,,,,,,,,,,,,,
,Triangle Listing/Enumeration,1,,,List all the triangles in the graph such that any triangle can be listed by any node,,,,,,,[https://arxiv.org/abs/1807.06624  (2018)],,2018,https://arxiv.org/abs/1807.06624,,,,,,,,,,,O tilde(n^1/2),,,,,,CONGEST,,Yes,LV,No,,omega(n^(1/3)/log(n)),https://arxiv.org/abs/1705.09061,,,,,,,,,,,,,,,,,,,,,,,,,,
,Triangle Listing/Enumeration,1,,,List all the triangles in the graph such that any triangle can be listed by any node,,,,,,,[https://ieeexplore.ieee.org/abstract/document/9317987  (2020)],,2020,https://ieeexplore.ieee.org/abstract/document/9317987,,,,,,,,,,,n^(2/3+o(1)),,,,,,CONGEST,,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Triangle Listing/Enumeration,1,,,List all the triangles in the graph such that any triangle can be listed by any node,,,,,,,[https://dl.acm.org/doi/abs/10.1145/3446330  (2021)],,2021,https://dl.acm.org/doi/abs/10.1145/3446330,,,,,,,,,,,O tilde(n^(1/3)),,,,,,CONGEST,,Yes,LV,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Triangle Listing/Enumeration,1,,,List all the triangles in the graph such that any triangle can be listed by any node,,,,,,,[https://arxiv.org/abs/2205.09245  (2022)],,2022,https://arxiv.org/abs/2205.09245,,,,,,,,,,,n^(1/3+o(1)),,,,,,CONGEST,,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Triangle Listing/Enumeration,1,Sparse graph,,List all the triangles in the graph such that any triangle can be listed by any node,,,,,,,[https://arxiv.org/abs/1201.6652  (2012)],,2012,https://arxiv.org/abs/1201.6652,,,,,,,,,,,O(m^2/n^3),,,,,,CONGESTED CLIQUE,,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Triangle Listing/Enumeration,1,Sparse graph,,List all the triangles in the graph such that any triangle can be listed by any node,,,,,,,[https://arxiv.org/abs/1602.08481  (2016)],,2016,https://arxiv.org/abs/1602.08481,,,,,,,,,,,O tilde(m/n^(5/3)+1),,,,,,CONGESTED CLIQUE,,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Triangle Listing/Enumeration,1,Sparse graph,,List all the triangles in the graph such that any triangle can be listed by any node,,,,,,,[https://arxiv.org/abs/1802.04789  (2018)],,2018,https://arxiv.org/abs/1802.04789,,,,,,,,,,,O(m/n^(5/3)+1),,,,,,CONGESTED CLIQUE,,No,,No,,omega tilde(m/n^(5/3)+1),https://arxiv.org/pdf/1602.08481.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
,Triangle Listing/Enumeration,1,Graph with small max degree,,List all the triangles in the graph such that any triangle can be listed by any node,,,,,,,[https://arxiv.org/abs/1908.11825  (2019)],,2019,https://arxiv.org/abs/1908.11825,,,,,,,,,,,O(Delta/log(n)+loglog(Delta)),,,,,,CONGEST,,Yes,LV,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Triangle Detection,1,,,Detect if the graph has a triangle,,,,,,,[https://arxiv.org/abs/1503.04963  (2015)],,2015,https://arxiv.org/abs/1503.04963,,,,,,,,,,,O(n^(1-2/w)),,,,w - exponent of matrix multiplication,,CONGESTED CLIQUE,,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Triangle Detection,1,,,Detect if the graph has a triangle,,,,,,,,,2017,https://arxiv.org/abs/1705.09061,,,,,,,,,,,O((nlog(n))^(2/3)),,,,,,CONGEST,,Yes,LV,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Triangle Detection,1,,,Detect if the graph has a triangle,,,,,,,,,2018,https://arxiv.org/abs/1807.06624,,,,,,,,,,,O tilde(n^1/2),,,,,,CONGEST,,Yes,LV,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Triangle Detection,1,,,Detect if the graph has a triangle,,,,,,,[https://ieeexplore.ieee.org/abstract/document/9317987  (2020)],,2020,https://ieeexplore.ieee.org/abstract/document/9317987,,,,,,,,,,,n^(1-1/w+o(1)),,,,w - exponent of matrix multiplication,,CONGEST,,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Triangle Detection,1,,,Detect if the graph has a triangle,,,,,,,[https://dl.acm.org/doi/abs/10.1145/3446330  (2021)],,2021,https://dl.acm.org/doi/abs/10.1145/3446330,,,,,,,,,,,O(n^(1/3)),,,,,,CONGEST,,Yes,LV,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Local Triangle Listing,1,,,Every node lists the triangles it's in,,,,,,,,,2012,https://arxiv.org/pdf/1201.6652.pdf,,,,,,,,,,,O(n^1/3 (log n)^2/3),,,,n - number of nodes,,CONGEST clique,,Yes,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Local Triangle Listing,1,,,Every node lists the triangles it's in,,,,,,,,,2017,https://arxiv.org/pdf/1705.09061.pdf,,,,,,,,,,,O(n^3/4 log n),,,,n - number of nodes,,CONGEST,,Yes,,No,,omega(n/log(n)),https://arxiv.org/pdf/1705.09061.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
,APSP,1,Unweighted edges,,Find all-pair-shortest-paths in the network,,,,,,,,,2012,https://dl.acm.org/doi/abs/10.1145/2332432.2332504,,,,,,,,,,,O(n),,,,,,CONGEST,,No,,No,,omega(n/log(n)),https://arxiv.org/abs/1403.5171,,,,,,,,,,,,,,,,,,,,,,,,,,
,APSP,1,Unweighted edges,,Find all-pair-shortest-paths in the network,,,,,,,,,2016,https://dl.acm.org/doi/abs/10.1145/2935764.2935812,,,,,,,,,,,O(n/log(n)+D),,,,,,CONGEST,,No,,No,,omega(n/log(n)),https://arxiv.org/abs/1403.5171,,,,,,,,,,,,,,,,,,,,,,,,,,
,APSP,1,"Weighted edges, O(1) approximation",,Find all-pair-shortest-paths in the network,,,,,,,,,2012,https://arxiv.org/abs/1210.5774,,,,,,,,,,,O(n^(1/2+epsilon)+D),,,,,,CONGEST,,Yes,LV,Yes,O(1/epsilon*log(1/epsilon)),,,,,,,,,,,,,,,,,,,,,,,,,,,,
,APSP,1,"Weighted edges, O(k) approximation",,,,,,,,,,,2013,https://dl.acm.org/doi/abs/10.1145/2484239.2484262,,,,,,,,,,,O(n^(1/2+1/k)+D),,,,,,CONGEST,,Yes,LV,Yes,O(k),,,,,,,,,,,,,,,,,,,,,,,,,,,,
,APSP,1,2+o(1) approximation,,Find all-pair-shortest-paths in the network,,,,,,,,,2014,https://dl.acm.org/doi/abs/10.1145/2591796.2591850,,,,,,,,,,,O tilde(n^1/2),,,,,,CONGEST,,Yes,LV,Yes,2+o(1),,,,,,,,,,,,,,,,,,,,,,,,,,,,
,APSP,1,"Weighted edges, 1+o(1) approximation",,Find all-pair-shortest-paths in the network,,,,,,,[https://dl.acm.org/doi/abs/10.1145/2591796.2591850  (2014)],,2014,https://dl.acm.org/doi/abs/10.1145/2591796.2591850,,,,,,,,,,,O tilde(n^(1/2)D^(1/4)+D),,,,,,CONGEST,,Yes,LV,Yes,1+o(1),omega(n/log(n)) for any poly(n) approximation,https://dl.acm.org/doi/abs/10.1145/2591796.2591850,,,,,,,,,,,,,,,,,,,,,,,,,,
,APSP,1,Weighted edges,,Find all-pair-shortest-paths in the network,,,,,,,[https://dl.acm.org/doi/pdf/10.1145/3055399.3055452  (2017)],,2017,https://dl.acm.org/doi/pdf/10.1145/3055399.3055452,,,,,,,,,,,O(n^(5/3) log^(2/3) n),https://dl.acm.org/doi/pdf/10.1145/3055399.3055452,,,n: number of graph nodes,,CONGEST,,Yes,LV,No,x,omega(n),https://arxiv.org/abs/1705.05646,,,,,,,,,,,,,,,,,,,,,,,,,,
,APSP,1,Weighted edges,,Find all-pair-shortest-paths in the network,,,,,,,"[https://arxiv.org/pdf/1811.03337.pdf#:~:text=In%20the%20distributed%20all%2Dpairs,(typically%20called%20time%20complexity).  (2019)]",,2019,"https://arxiv.org/pdf/1811.03337.pdf#:~:text=In%20the%20distributed%20all%2Dpairs,(typically%20called%20time%20complexity).",,,,,,,,,,,O tilda (n),"https://arxiv.org/pdf/1811.03337.pdf#:~:text=In%20the%20distributed%20all%2Dpairs,(typically%20called%20time%20complexity).",,,n: number of graph nodes,,CONGEST,,Yes,LV,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,APSP,1,Weighted edges,,Find all-pair-shortest-paths in the network,,,,,,,,,2017,https://ieeexplore.ieee.org/abstract/document/8104056,,,,,,,,,,,O tilde(n^5/4),,,,,,CONGEST,,Yes,LV,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,APSP,1,Weighted edges,,Find all-pair-shortest-paths in the network,,,,,,,,,2018,https://dl.acm.org/doi/abs/10.1145/3212734.3212773,,,,,,,,,,,O tilde(n^3/2),,,,,,CONGEST,,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,APSP,1,Weighted edges,,Find all-pair-shortest-paths in the network,,,,,,,,,2020,https://dl.acm.org/doi/abs/10.1145/3350755.3400256,,,,,,,,,,,O tilde(n^4/3),,,,,,CONGEST,,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,APSP,1,Unweighted edges,,Find all-pair-shortest-paths in the network,,,,,,,,,2019,https://dl.acm.org/doi/abs/10.1145/3293883.3295729,,,,,,,,O(nm),messages,,O(n),,,,,,CONGEST,,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,APSP,1,2+epsilon approximation + small additive error,,Find all-pair-shortest-paths in the network,,,,,,,,,2019,https://dl.acm.org/doi/pdf/10.1145/3293611.3331633,,,,,,,,,,,O(log^2(n)/epsilon),,,,,,CONGESTED CLIQUE,,No,,Yes,2+epsilon and a small additive error for the weighted case,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,APSP,1,2+epsilon approximation,,Find all-pair-shortest-paths in the network,,,,,,,,,2020,https://arxiv.org/abs/2003.03058,,,,,,,,,,,O tilde(loglogn^4),,,,,,CONGESTED CLIQUE,,No,,Yes,2+epsilon,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,APSP,1,2+epsilon approximation,,Find all-pair-shortest-paths in the network,,,,,,,,,2020,https://arxiv.org/abs/2003.03058,,,,,,,,,,,O tilde(loglogn^2),,,,,,CONGESTED CLIQUE,,Yes,LV,Yes,2+epsilon,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,APSP,1,Unweighted O(log(n)) approximation,,Find all-pair-shortest-paths in the network,,,,,,,,,2021,https://dl.acm.org/doi/pdf/10.1145/3465084.3467928,,,,,,,,,,,O(1),,,,,,CONGESTED CLIQUE,,Yes,LV,Yes,O(log(n)),,,,,,,,,,,,,,,,,,,,,,,,,,,,
