 ,Family Name,Looked at?,Variation,Algo ID,Algorithm Description,Final Call,Exact Problem Statement?,Exact?,Time Complexity (Average),Average Case Distribution,Reference?,,Algorithm Name,Year,Paper/Reference Link,Constants,Derived?,Paper Reference for Constants,Time Complexity Improvement?,Transition Class,Time Complexity Class,Param: Time Class,Time Complexity (Worst Only),Parallel Algorithm Span,Parallel Algorithm Span References,Parallel Algorithm Work,Parallel Algorithm Work References,Reference mentions work efficiency?,Parameter definitions,Preferred Parameter,Time Complexity Reference,Derived Time Complexity?,Computational Model,Unit of Space,Space Complexity Class,Param: Space Class,Space Complexity (Auxiliary),Space Complexity Reference,Derived Space Complexity?,Space Complexity in Original Paper?,Interesting Space Complexity?,Randomized?,"Type of Randomized Algorithm (e.g. Las Vegas, Monte Carlo, Atlantic City)",Approximate?,Approximation Factor (if approximate algorithm),Heuristic-based?,Parallel?,"# of
Processors",Quantum?,GPU-based?,Other References,Problem Statement,"Algorithm family
parameters",Description of Inputs,Ratios of input parameter sizes,Space n = 1000 value,Space n = 1000 rate,Space n = 10^6 value,Space n = 10^6 rate,Space n = 10^9 value,Space n = 10^9 rate,n = 1000 value,n = 1000 scale,n = 1000 Rate,n = 10^6 value,n = 10^6 scale,n = 10^6 Rate,n = 10^9 value,n = 10^9 scale,n = 10^9 Rate,Starting Complexity,Remarks,Papers for ratio evaluations,Domains
4,Least Common Subsequence,1,LCS,,,,,,,,,[https://kilthub.cmu.edu/articles/journal_contribution/A_fast_parallel_algorithm_to_determine_edit_distance/6587387/1 Mathies (1988)],Mathies,1988,https://kilthub.cmu.edu/articles/journal_contribution/A_fast_parallel_algorithm_to_determine_edit_distance/6587387/1,,,,,,,,O(log m log n),O(log m log n),https://kilthub.cmu.edu/articles/journal_contribution/A_fast_parallel_algorithm_to_determine_edit_distance/6587387/1,O(mn log m log n),https://kilthub.cmu.edu/articles/journal_contribution/A_fast_parallel_algorithm_to_determine_edit_distance/6587387/1,no?,"m: length of shorter string
n: length of longer string",,,,CRCW PRAM,,,,,,,,,0,,0,,0,1,O(mn),0,0,,The longest common subsequence (LCS) problem is the problem of finding the longest subsequence common to all sequences in a set of sequences (often just two sequences).,,,,,,,,,,,,,,,,,,,,,,
5,Maximum Flow,1,,,,,1,1,O(V^3*log(V)/p),(see max flow in sheet1),,[http://users.umiacs.umd.edu/~vishkin/TEACHING/4CLASS/SV82-maxflow.pdf Shiloach (1981)],Shiloach,1981,http://users.umiacs.umd.edu/~vishkin/TEACHING/4CLASS/SV82-maxflow.pdf,,,,,0,,,O(V^3*log(V)/p),$O(V^3*log(V)/p)$,http://users.umiacs.umd.edu/~vishkin/TEACHING/4CLASS/SV82-maxflow.pdf,$O(V^3*log(V))$,http://users.umiacs.umd.edu/~vishkin/TEACHING/4CLASS/SV82-maxflow.pdf,yes relative to sequential algorithm described in paper,"V: number of vertices
E: number of edges
U: maximum edge capacity
p: number of processors",,,,Parallel RAM (unclear what type; seems like any could work?),words,O(E),"V: 5,
E: 3",can be derived?,,,,,0,,0,,0,1,p,0,0,,maximum flow problems involve finding a feasible flow through a flow network that is maximum.,,,,,,,,,,,,,,,,,,,2,,,Combinatorics
5,Maximum Flow,1,Integer Maximum Flow,,,,1,1,O(V^1.66 log(V) log(U)),(see max flow in sheet1),,[https://dl.acm.org/citation.cfm?id=290181 Goldberg & Rao (Parallel) (1997)],Goldberg & Rao (Parallel),1997,https://dl.acm.org/citation.cfm?id=290181,,,,,0,4.66,,O(V^1.66 log(V) log(U)),$O(V^1.66 log(V) log(U))$,https://dl.acm.org/citation.cfm?id=290181,$O(V^2.66 log(V) log(U))$?,Derived,,"V: number of vertices
E: number of edges
U: maximum edge capacity",,,,PRAM,words,O(V^2),V: 5,https://dl.acm.org/citation.cfm?id=290181,,,,,0,,0,,0,1,O(V),0,0,,maximum flow problems involve finding a feasible flow through a flow network that is maximum.,,,,,,,,,,,,,,,,,,,2,,,Combinatorics
5,Maximum Flow,1,Integer Maximum Flow,,,,1,1,O(E^0.5 V log(V) log(U)),(see max flow in sheet1),,[https://dl.acm.org/citation.cfm?id=290181 Goldberg & Rao (Parallel) (1997)],Goldberg & Rao (Parallel),1997,https://dl.acm.org/citation.cfm?id=290181,,,,,0,5,,O(E^0.5 V log(V) log(U)),$O(E^0.5 V log(V) log(U))$,https://dl.acm.org/citation.cfm?id=290181,$O(E^0.5 V^2 log(V) log(U))$?,Derived,,"V: number of vertices
E: number of edges
U: maximum edge capacity",,,,PRAM,words,O(V^2),V: 5,https://dl.acm.org/citation.cfm?id=290181,,,,,0,,0,,0,1,O(V),0,0,,maximum flow problems involve finding a feasible flow through a flow network that is maximum.,,,,,,,,,,,,,,,,,,,2,,,Combinatorics
10,Linear Programming,1,General Linear Programming,,,,,,,,,[https://epubs.siam.org/doi/pdf/10.1137/S0097539792234858 Ajtai & Megiddo (1996)],Ajtai & Megiddo,1996,https://epubs.siam.org/doi/pdf/10.1137/S0097539792234858,,,,,,,,O((log log n)^d),O((log log n)^d),https://epubs.siam.org/doi/pdf/10.1137/S0097539792234858,O(n(log log n)^d),Derived,no,"n: number of constraints
d: number of dimensions",,,,CRCW PRAM,,,,,,,,,0,,0,,0,1,O(n),0,0,,Linear programming (LP; also called linear optimization) is a method to achieve the best outcome (such as maximum profit or lowest cost) in a mathematical model whose requirements are represented by linear relationships. Linear programming is a special case of mathematical programming (also known as mathematical optimization).,,,,,,,,,,,,,,,,,,,,,,
10,Linear Programming,1,General Linear Programming,,,,,,,,,[https://dl.acm.org/doi/pdf/10.1145/167088.167211 Dyer (1993)],Dyer,1993,https://dl.acm.org/doi/pdf/10.1145/167088.167211,,,,,,,,O(log n(log log n)^(d-1)),O(log n(log log n)^(d-1)),https://dl.acm.org/doi/pdf/10.1145/167088.167211,O(nlog n(log log n)^(d-1)),Derived,no,"n: number of constraints
d: number of dimensions",,,,EREW PRAM,,,,,,,,,0,,0,,0,1,O(n),0,0,,Linear programming (LP; also called linear optimization) is a method to achieve the best outcome (such as maximum profit or lowest cost) in a mathematical model whose requirements are represented by linear relationships. Linear programming is a special case of mathematical programming (also known as mathematical optimization).,,,,,,,,,,,,,,,,,,,,,,
10,Linear Programming,1,"General Linear Programming 
",,,,,,,,,[https://ieeexplore.ieee.org/document/89578 Alon & Megiddo (1990)],Alon & Megiddo,1990,https://ieeexplore.ieee.org/document/89578,,,,,,,,O(d^2 log^2 d) with probability approaching 1,O(d^2 log^2 d) with probability approaching 1,https://ieeexplore.ieee.org/document/89578,O(d^3 n),https://ieeexplore.ieee.org/document/89578,yes,"n: number of constraints
d: number of dimensions",,,,CRCW PRAM,,,,,,,,,0,,0,,0,1,O(nd/log^2 d),0,0,,Linear programming (LP; also called linear optimization) is a method to achieve the best outcome (such as maximum profit or lowest cost) in a mathematical model whose requirements are represented by linear relationships. Linear programming is a special case of mathematical programming (also known as mathematical optimization).,,,,,,,,,,,,,,,,,,,,,,
10,Linear Programming,1,"General Linear Programming 
(only 2 -dimensional)",,,,,,,,,[https://www.sciencedirect.com/science/article/pii/002001909090026T?ref=pdf_download&fr=RR-2&rr=7d29f5c94c8e2249 Deng (1990)],Deng,1990,https://www.sciencedirect.com/science/article/pii/002001909090026T?ref=pdf_download&fr=RR-2&rr=7d29f5c94c8e2249,,,,,,,,O(log n),O(log n),https://www.sciencedirect.com/science/article/pii/002001909090026T?ref=pdf_download&fr=RR-2&rr=7d29f5c94c8e2249,O(n),https://www.sciencedirect.com/science/article/pii/002001909090026T?ref=pdf_download&fr=RR-2&rr=7d29f5c94c8e2249,yes,n: number of constraints,,,,CRCW PRAM,,,,,,,,,0,,0,,0,1,O(n/log n),0,0,,Linear programming (LP; also called linear optimization) is a method to achieve the best outcome (such as maximum profit or lowest cost) in a mathematical model whose requirements are represented by linear relationships. Linear programming is a special case of mathematical programming (also known as mathematical optimization).,,,,,,,,,,,,,,,,,,,,,,
11,Line segment intersection,1,"Reporting all intersection points, line segments",126,,,1,1,O(log^2(n)),,,[https://dl.acm.org/citation.cfm?id=72950 Goodrich (1989)],Goodrich,1989,https://dl.acm.org/citation.cfm?id=72950,,,,0,0,2,n: 2,$O(\log^2(n))$,$O(\log^2(n))$,https://dl.acm.org/citation.cfm?id=72950,$O(n\log^2(n) + k\log(n))$,https://dl.acm.org/citation.cfm?id=72950,yes (but algo is not optimal),"n: number of line segments
k: number of points of intersection",n,,,CREW PRAM,words,3,"n: 3,
k: 3",O(n+k) total?,"Seems to require creating/storing an O(n)-sized data structure (""segment tree""), and then computing the O(k) intersections using the data structure",1,0,,0,,0,,0,1,O(n + k/log n),0,0,,"The line segment intersection problem supplies a list of line segments in the Euclidean plane and asks about the points where they intersect (cross), if any.",,,,,,,,,,99.3,10070.49345,,,,,,,,4,,,Image Processing
12,Convex Hull,1,2-dimensional,136,,,1,1,"O(logn) time using
O(n) processors",,,[https://cse.buffalo.edu/faculty/miller/Papers/IEEETC88a.pdf Miller; Stout (1988)],Miller; Stout,1988,https://cse.buffalo.edu/faculty/miller/Papers/IEEETC88a.pdf,,,,1,5->7,#VALUE!,,"$O(logn)$ time using
$O(n)$ processors",$O(\log n)$,https://cse.buffalo.edu/faculty/miller/Papers/IEEETC88a.pdf,$O(n \log n)$,https://cse.buffalo.edu/faculty/miller/Papers/IEEETC88a.pdf,"yes, implicitly (can't do better than sorting)","n: number of line segments
h: number of points on the convex hull",n,,,"EREW PRAM, possibly others (see paper)",words,3,n: 3,O(n) total?,Divide and conquer can be done in linear space total as space can be reused after conquer steps,1,0,,0,,0,,0,1,O(n),0,0,,"the convex hull or convex envelope or convex closure of a set X of points
 in the Euclidean plane or in a Euclidean space
 (or; more generally; in an affine space over the reals) is the smallest 
convex set that contains X. ",,,h = n^0.5,,,,,,,9.965,100351229.3,,,,,,,,3,,,Image Processing
13,Strongly Connected Components,1,SCCs,140,,,1,1,O(ElogV+V),,,[https://ldhulipala.github.io/readings/sequential-scc.pdf Fleischer forward-backward (FB) algorithm (2003)],Fleischer forward-backward (FB) algorithm,2003,https://ldhulipala.github.io/readings/sequential-scc.pdf,,,,0,0,5.01,"E: 3,
V: 5.01",$O(E\log V+V)$,$O(E\log V+V)$?,http://essay.utwente.nl/67128/1/Bloemen_MA_EEMCS.pdf,$O(E\log V+V)$? (sequentially),http://essay.utwente.nl/67128/1/Bloemen_MA_EEMCS.pdf,no,"V: number of vertices
E: number of edges",V,,,Word RAM,words,3,"V: 3,
E: 3",O(V+E),constructing recursive subgraphs? and reuse space across recursive calls,1,0,,0,,0,,0,1,$O(n)$,0,0,,"The strongly connected components or diconnected components of an arbitrary
 directed graph form a partition into subgraphs that are themselves
 strongly connected.",,,"V:E
3:4",,,,,,,428571,0.002333335667,,,,,,,,4,,,Combinatorics
13,Strongly Connected Components,0.001,SCCs,144,,,1,1,O(V^2),,,[http://www.cs.ox.ac.uk/people/gavin.lowe/parallelDFS.html Lowe’s Algorithm (2014)],Lowe’s Algorithm,2014,http://www.cs.ox.ac.uk/people/gavin.lowe/parallelDFS.html,,,,0,0,5,"V: 5,
E: 3",$O(V^2)$,"$O(V^2)$? (""cost of transferring from one search to another"")",http://essay.utwente.nl/67128/1/Bloemen_MA_EEMCS.pdf,$O(V^2)$,http://essay.utwente.nl/67128/1/Bloemen_MA_EEMCS.pdf,no,"V: number of vertices
E: number of edges
p: number of processors",V,,,Word RAM,words,3,"V: 3,
E: 1",O(V) per processor,(can be easily derived?),1,0,,0,,0,,0,1,,0,0,http://essay.utwente.nl/67128/1/Bloemen_MA_EEMCS.pdf,"The strongly connected components or diconnected components of an arbitrary
 directed graph form a partition into subgraphs that are themselves
 strongly connected.",,,"V:E
3:4",,,,,,,184244,0.005427585159,,,,,,,,4,,,Combinatorics
13,Strongly Connected Components,1,SCCs,145,,,1,1,"O(p*(V+E)*alpha(V, E))?",,,[https://link.springer.com/chapter/10.1007/978-3-642-45221-5_44 Renault’s Algorithm (2009)],Renault’s Algorithm,2009,https://link.springer.com/chapter/10.1007/978-3-642-45221-5_44,,,,0,0,5,"V: 5,
E: 3,
p: 3","$O(p*(V+E)*\alpha(V, E))$","$O((V+E)*\alpha(V, E))$",http://essay.utwente.nl/67128/1/Bloemen_MA_EEMCS.pdf,"$O(p*(V+E)*\alpha(V, E))$",http://essay.utwente.nl/67128/1/Bloemen_MA_EEMCS.pdf,no,"V: number of vertices
E: number of edges
p: number of processors",V,,,Word RAM,words,3,"V: 3,
E: 1",O(V) per processor,(can be easily derived?),1,0,,0,,0,,0,1,$p$,0,0,http://essay.utwente.nl/67128/1/Bloemen_MA_EEMCS.pdf,"The strongly connected components or diconnected components of an arbitrary
 directed graph form a partition into subgraphs that are themselves
 strongly connected.",,,"V:E
3:4",,,,,,,183673,0.005444458358,,,,,,,,4,,,Combinatorics
13,Strongly Connected Components,1,SCCs,148,,,1,1,O(V(V+E)),,,[https://ieeexplore.ieee.org/document/8133154 OBF Algorithm (2011)],OBF Algorithm,2011,https://ieeexplore.ieee.org/document/8133154,,,,0,0,6,"E: 3,
V: 6",$O(V(V+E))$,$O(E\log V+V)$? (see FB algorithm),http://essay.utwente.nl/67128/1/Bloemen_MA_EEMCS.pdf,$O(E\log V+V)$? (sequentially),http://essay.utwente.nl/67128/1/Bloemen_MA_EEMCS.pdf,no,"V: number of vertices
E: number of edges
p: number of processors",V,,,Word RAM,words,5,"V: 5,
E: 3",O(E+V^2) total,https://ris.utwente.nl/ws/files/6872352/Barnat09distributed.pdf,0,1,,0,,0,,0,1,$O(n)$,0,0,,"The strongly connected components or diconnected components of an arbitrary
 directed graph form a partition into subgraphs that are themselves
 strongly connected.",,,"V:E
3:4",,,,,,,428571,0.002333335667,,,,,,,,4,,,Combinatorics
13,Strongly Connected Components,1,SCCs,149,,,1,1,O(VE),,,[https://research.vu.nl/en/publications/on-distributed-verification-and-verified-distribution CH Algorithm (2004)],CH Algorithm,2004,https://research.vu.nl/en/publications/on-distributed-verification-and-verified-distribution,,,,0,0,6,"E: 3,
V: 6",$O(VE)$,$O(E)$??,http://essay.utwente.nl/67128/1/Bloemen_MA_EEMCS.pdf (for work),$O(VE)$,http://essay.utwente.nl/67128/1/Bloemen_MA_EEMCS.pdf (for work),no,"V: number of vertices
E: number of edges
p: number of processors",V,,,Word RAM,words,3,"V: 3,
E: 3",O(V+E)?,Each vertex needs to keep track of one color; then we need to build recursive subgraphs,1,0,,0,,0,,0,1,$O(n)$,0,0,,"The strongly connected components or diconnected components of an arbitrary
 directed graph form a partition into subgraphs that are themselves
 strongly connected.",,,"V:E
3:4",,,,,,,244897,0.004083349326,,,,,,,,4,,,Combinatorics
13,Strongly Connected Components,1,SCCs,150,,,1,1,O(V(V+E)),,,[https://stanford-ppl.github.io/website/papers/sc13-hong.pdf Hong’s algorithm (2013)],Hong’s algorithm,2013,https://stanford-ppl.github.io/website/papers/sc13-hong.pdf,,,,0,0,6,"E: 3,
V: 6",$O(V(V+E))$,$O(E\log V+V)$? (see FB algorithm),http://essay.utwente.nl/67128/1/Bloemen_MA_EEMCS.pdf,$O(E\log V+V)$? (sequentially),http://essay.utwente.nl/67128/1/Bloemen_MA_EEMCS.pdf,no,"V: number of vertices
E: number of edges
p: number of processors",V,,,Word RAM,words,3,"V: 3,
E: 3",O(V+E)?,Building recursive subgraphs,1,0,,0,,0,,0,1,$O(n)$,0,0,,"The strongly connected components or diconnected components of an arbitrary
 directed graph form a partition into subgraphs that are themselves
 strongly connected.",,,"V:E
3:4",,,,,,,428571,0.002333335667,,,,,,,,4,,,Combinatorics
13,Strongly Connected Components,0.001,SCCs,,,,1,1,O(V+E),,,[https://www.semanticscholar.org/paper/Depth-First-Search-and-Linear-Graph-Algorithms-Tarjan/385742fffcf113656f0d3cf6c06ef95cb8439dc6 Geldenhuys-Valmari (2004)],Geldenhuys-Valmari,2004,https://www.semanticscholar.org/paper/Depth-First-Search-and-Linear-Graph-Algorithms-Tarjan/385742fffcf113656f0d3cf6c06ef95cb8439dc6,,,,,,,,O(V+E),,,,,,"V: number of vertices
E: number of edges",,,,Word RAM,words,O(V)?,V: 3,(follow-up from Tarjan's algorithm),,,,,0,,0,,0,1,,0,0,,"The strongly connected components or diconnected components of an arbitrary
 directed graph form a partition into subgraphs that are themselves
 strongly connected.",,,,,,,,,,,,,,,,,,,,,,Combinatorics
13,Strongly Connected Components,1,SCCs,,BFS method,,,,,,,,Reghbati (Arjomandi) and Corneil,1978,https://epubs.siam.org/doi/abs/10.1137/0207020,,,,,,,,T/p+L log(p)+2n,O(n),,O(n+m) ?,,"yes - compares to sequential BFS search algorithm; ""superior to sequential algorithm for h-dense graphs where h>=ceiling(log k)+7 (h-dense: #edges>=h*n/2)""","n: number of vertices
m: number of edges
p: number of processors
d: diameter of graph
L: distance of node farhest from start node
T: complexity of optimal sequantial BFS algo",,,,SIMD-SM-R (CREW PRAM?),,,,,,,,,,,,,,1,p,,,originally found in  https://dl.acm.org/doi/pdf/10.1145/2514.2515,,,,,,,,,,,,,,,,,,,,,,,
13,Strongly Connected Components,1,SCCs; Transitive Closure,,Transitive closure method,,,,,,,,Reghbati (Arjomandi) and Corneil,1978,https://epubs.siam.org/doi/abs/10.1137/0207020,,,,,,,,O(log^2(n)),O(log^2(n)),,,,,n: number of vertices,,,,SIMD-SM-R (CREW PRAM?),,,,,,,,,,,,,,1,n^3,,,"promised to have ""proof of correctness and details of timing"": https://dl.acm.org/doi/book/10.5555/908319; originally found in  https://dl.acm.org/doi/pdf/10.1145/2514.2515",,,,,,,,,,,,,,,,,,,,,,,
13,Strongly Connected Components,0,,,Transitive closure method,,,,,,,,Chandra,1976,https://cir.nii.ac.jp/crid/1573105974323147776,,,,,,,,O(log^2(n)),,,,,,,,,,SIMD-SM-R (CREW PRAM?),,,,,,,,,,,,,,1,n^(log7)/log(n),,,originally found in  https://dl.acm.org/doi/pdf/10.1145/2514.2515,,,,,,,,,,,,,,,,,,,,,,,
13,Strongly Connected Components,1,Transitive Closure,,Vertex collapse method,,,,,,,,Hirschberg,1976,https://dl.acm.org/doi/abs/10.1145/800113.803631,,,,,,,,O(log^2(n)),O(log^2(n)) ?,,O(n^3 log^2(n)) ?,,,,,,,SIMD-SM-R (CREW PRAM?),,,,,,,,,,,,,,1,n^3,,,originally found in  https://dl.acm.org/doi/pdf/10.1145/2514.2515,,,,,,,,,,,,,,,,,,,,,,,
13,Strongly Connected Components,1,SCCs,,Vertex collapse method,,,,,,,,Hirschberg,1976,https://dl.acm.org/doi/abs/10.1145/800113.803631,,,,,,,,O(log^2(n)),O(log^2(n)),,O(n^2 log^2(n)) ?,,,n: number of vertices,,,,SIMD-SM-R (CREW PRAM?),,,,,,,,,,,,,,1,n^2,,,originally found in  https://dl.acm.org/doi/pdf/10.1145/2514.2515,,,,,,,,,,,,,,,,,,,,,,,
13,Strongly Connected Components,1,SCCs; Transitive Closure,,Vertex collapse method,,,,,,,,Hirschberg et al.,1979,https://dl.acm.org/doi/abs/10.1145/359138.359141,,,,,,,,O(log^2(n)),O(log^2(n)),https://dl.acm.org/doi/abs/10.1145/359138.359141,O(n^2 log^2(n)) ,,,n: number of vertices,,,,SIMD-SM-R (CREW PRAM?),,,,,,,,,,,,,,1,n ceilling(n/log(n)),,,originally found in  https://dl.acm.org/doi/pdf/10.1145/2514.2515,,,,,,,,,,,,,,,,,,,,,,,
13,Strongly Connected Components,0,,,Vertex collapse method,,,,,,,,Wyllie,1979,https://hdl.handle.net/1813/7502,,,,,,,,O(log^2(n)),,,,,,,,,,MIMD-TC-R,,,,,,,,,,,,,,1,n+2m,,,originally found in  https://dl.acm.org/doi/pdf/10.1145/2514.2515,,,,,,,,,,,,,,,,,,,,,,,
13,Strongly Connected Components,0,,,Vertex collapse method,,,,,,,,Nassimi and Sahni,1980,https://epubs.siam.org/doi/abs/10.1137/0209058,,,,,,,,O(n^0.5 log(n)),,,,,,,,,,SIMD-SM-R (CREW PRAM?),,,,,,,,,,,,,,1,n,,,originally found in  https://dl.acm.org/doi/pdf/10.1145/2514.2515,,,,,,,,,,,,,,,,,,,,,,,
13,Strongly Connected Components,1,SCCs; Transitive Closure,,,,,,,,,,Chin et al.,1982,https://dl.acm.org/doi/pdf/10.1145/358628.358650,,,,,,,,O(log^2(n)),O(log^2(n)),,,,,,,,,SIMD-SM-R (CREW PRAM?),,,,,,,,,,,,,,1,n ceilling(n/log^2(n)),,,"originally found in  https://dl.acm.org/doi/pdf/10.1145/2514.2515
refrenced this https://hub.hku.hk/handle/10722/151778 ? don't have access to it but same authors, maybe same content?",,,,,,,,,,,,,,,,,,,,,,,
13,Strongly Connected Components,0,,,Vertex collapse method,,,,,,,,Savage and Ja'Ja',1981,https://epubs.siam.org/doi/abs/10.1137/0210051,,,,,,,,O(log(n)log(d)),,,,,,,,,,SIMD-SM-R (CREW PRAM?),,,,,,,,,,,,,,1,n^3/log(n),,,originally found in  https://dl.acm.org/doi/pdf/10.1145/2514.2515,,,,,,,,,,,,,,,,,,,,,,,
13,Strongly Connected Components,0,,,Vertex collapse method,,,,,,,,Savage and Ja'Ja',1981,https://epubs.siam.org/doi/abs/10.1137/0210051,,,,,,,,O(log^2(n)),,,,,,,,,,SIMD-SM-R (CREW PRAM?),,,,,,,,,,,,,,1,m+n log(n),,,originally found in  https://dl.acm.org/doi/pdf/10.1145/2514.2515,,,,,,,,,,,,,,,,,,,,,,,
13,Strongly Connected Components,0,,,Vertex collapse method,,,,,,,,Savage,1981,https://link.springer.com/chapter/10.1007/978-3-642-68402-9_32,,,,,,,,O(n+m),,,,,,,,,,Systolic array,,,,,,,,,,,,,,1,n+1,,,originally found in  https://dl.acm.org/doi/pdf/10.1145/2514.2515,,,,,,,,,,,,,,,,,,,,,,,
13,Strongly Connected Components,0,,,Vertex collapse method,,,,,,,,Nath and Maheshwari,1982,https://www.sciencedirect.com/science/article/pii/0020019082901314,,,,,,,,O(log^2(n)),,,,,,,,,,SIMD-SM (EREW PRAM?),,,,,,,,,,,,,,1,m+n log(n),,,originally found in  https://dl.acm.org/doi/pdf/10.1145/2514.2515,,,,,,,,,,,,,,,,,,,,,,,
13,Strongly Connected Components,0,,,Vertex collapse method,,,,,,,,Shiloach and Vishkin,1982,"SHILOACH, Y., AND VISHKIN, U. 1982a. An O(log n) parallel connectivity algorithm. J Algorithms 3, 1 (Mar.), 57-67.",,,,,,,,O(log(n)),,,,,,,,,,SIMD-SM-RW (probabalistic) (CRCW PRAM?),,,,,,,,,,,,,,1,n+2m,,,originally found in  https://dl.acm.org/doi/pdf/10.1145/2514.2515,,,,,,,,,,,,,,,,,,,,,,,
13,Strongly Connected Components,0,,,Transitive closure method,,,,,,,,Kucera,1982,https://www.sciencedirect.com/science/article/pii/002001908290093X,,,,,,,,O(log(n)),,,,,,,,,,SIMD-SM-RW (CRCW PRAM?),,,,,,,,,,,,,,1,n^4,,,originally found in  https://dl.acm.org/doi/pdf/10.1145/2514.2515,,,,,,,,,,,,,,,,,,,,,,,
13,Strongly Connected Components,0,,,Vertex collapse method,,,,,,,,Reif and Spirakis,1982,https://apps.dtic.mil/sti/citations/ADA114875,,,,,,,,O(log log(n)) (expected),,,,,,,,,,SIMD-SM-RW (probabalistic) (CRCW PRAM?),,,,,,,,,,,,,,1,O(n^2) (expected),,,originally found in  https://dl.acm.org/doi/pdf/10.1145/2514.2515,,,,,,,,,,,,,,,,,,,,,,,
13,Strongly Connected Components,0,,,Vertex collapse method,,,,,,,,Hambrusch,1982,https://www.proquest.com/docview/303249065?pq-origsite=gscholar&fromopenview=true,,,,,,,,O(n^(3/2)),,,,,,,,,,Systolic array,,,,,,,,,,,,,,1,n,,,originally found in  https://dl.acm.org/doi/pdf/10.1145/2514.2515,,,,,,,,,,,,,,,,,,,,,,,
14,Minimum Spanning Tree (MST),1,"Undirected, General MST",163,Parallel algorithm,,1,1,O(E log(V)/p),,,[https://www.sciencedirect.com/science/article/pii/S0743731506001262 Bader & Cong Parallel Implementation  (2006)],Bader & Cong Parallel Implementation ,2006,https://www.sciencedirect.com/science/article/pii/S0743731506001262,,,,0,0,5.01,"E: 3,
V: 5.01",O(E \log(V)/p),$O(E\log(V)/p)$,https://www.sciencedirect.com/science/article/pii/S0743731506001262,$O(E\log(V)$,https://www.sciencedirect.com/science/article/pii/S0743731506001262,only experimentally?,"V: number of vertices
E: number of edges
U: maximum edge weight
p: number of processors",V,https://www.sciencedirect.com/science/article/pii/S0743731506001262,0,PRAM/SMPs?,words,3,"V: 3,
E: 1",O(V) total,Initializes and uses a constant number of arrays of size O(V) (and does work similar to work done in Boruvka/Prim algorithm),1,0,,0,,0,,0,1,p,0,0,,"A minimum spanning tree (MST) or minimum weight spanning tree is a subset
 of the edges of a connected; edge-weighted undirected graph that
 connects all the vertices together; without any cycles and
 with the minimum possible total edge weight.",,,"V:E
5:7",,,,,,,8.7,583.3333333,,,,,,,,5,,,Combinatorics
14,Minimum Spanning Tree (MST),0.001,,,,,,,,,,"[https://dl.acm.org/doi/pdf/10.1145/2145816.2145842 Nobari, Cao, Karras, Bressan (2012)]","Nobari, Cao, Karras, Bressan",2012,https://dl.acm.org/doi/pdf/10.1145/2145816.2145842,,,,,,,,O(E\log(V)),,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Minimum Spanning Tree (MST),0,,,Kruskal method,,,,,,,,Levitt and Kautz ,1972,https://dl.acm.org/doi/abs/10.1145/361573.361576,,,,,,,,O(n^2),,,,,,n: number of vertices,,,,"""Systolic array""",,,,,,,,,,,,,,1,O(n^2),,,originally found in  https://dl.acm.org/doi/pdf/10.1145/2514.2515,,,,,,,,,,,,,,,,,,,,,,,
14,Minimum Spanning Tree (MST),0.001,"connected, undirected, weighted",,Sollin method,,,,,,,,Savage,1977,https://www.proquest.com/docview/302856503?pq-origsite=gscholar&fromopenview=true,,,,,,,,O(log^2(n)),,,O(n^2) ??,,"yes? speedup=O(n^2/log^2(n))
efficiency=O(1/log(n))",n: number of vertices,,,,SIMD-SM-R (CREW PRAM?),,,,,,,,,,,,,,1,n^2/log(n),,,originally found in  https://dl.acm.org/doi/pdf/10.1145/2514.2516,,,,,,,,,,,,,,,,,,,,,,,
14,Minimum Spanning Tree (MST),0,,,Prim-Dijkstra method,,,,,,,,Bentley,1980,https://www.sciencedirect.com/science/article/pii/0196677480900048,,,,,,,,O(n log(n)),,,,,,n: number of vertices,,,,"""tree""",,,,,,,,,,,,,,1,n/log(n),,,originally found in  https://dl.acm.org/doi/pdf/10.1145/2514.2517,,,,,,,,,,,,,,,,,,,,,,,
14,Minimum Spanning Tree (MST),0,,,Prim-Dijkstra method or Solin ??,,,,,,,,Deo and Yoo,1981,"DEO, N., AND YOO, Y. B. 1981. Parallel algorithms for the minimum spanning tree problem.",,,,,,,,,,,,,,,,,,MIMD-TC,,,,,,,,,,,,,,1,,,,originally found in  https://dl.acm.org/doi/pdf/10.1145/2514.2518,,,,,,,,,,,,,,,,,,,,,,,
14,Minimum Spanning Tree (MST),0,,,Sollin method,,,,,,,,Savage and Ja'Ja',1981,https://epubs.siam.org/doi/abs/10.1137/0210051,,,,,,,,O(log^2(n)),,,,,,n: number of vertices,,,,SIMD-SM-SR,,,,,,,,,,,,,,1,n^2,,,originally found in  https://dl.acm.org/doi/pdf/10.1145/2514.2519,,,,,,,,,,,,,,,,,,,,,,,
14,Minimum Spanning Tree (MST),0,,,Sollin method,,,,,,,,Nath and Maheshwari,1982,https://www.sciencedirect.com/science/article/pii/0020019082901314,,,,,,,,O(log^2(n)),,,,,,n: number of vertices,,,,SIMD-SM (EREW PRAM?),,,,,,,,,,,,,,1,n^2/log(n),,,originally found in  https://dl.acm.org/doi/pdf/10.1145/2514.2520,,,,,,,,,,,,,,,,,,,,,,,
