 ,Family Name,Looked at?,Variation,Algo ID,Algorithm Description,Final Call,Exact Problem Statement?,Exact?,Time Complexity (Average),Average Case Distribution,Reference?,,Algorithm Name,Year,Paper/Reference Link,Constants,Derived?,Paper Reference for Constants,Time Complexity Improvement?,Transition Class,Time Complexity Class,Param: Time Class,Time Complexity (Worst Only),Parallel Algorithm Span/Depth,Parallel Algorithm Span References,Parallel Algorithm Work,Parallel Algorithm Work References,Reference mentions work efficiency?,Parameter definitions,Preferred Parameter,Time Complexity Reference,Derived Time Complexity?,Computational Model,Unit of Space,Space Complexity Class,Param: Space Class,Space Complexity (Auxiliary),Space Complexity Reference,Derived Space Complexity?,Space Complexity in Original Paper?,Interesting Space Complexity?,Randomized?,"Type of Randomized Algorithm (e.g. Las Vegas, Monte Carlo, Atlantic City)",Approximate?,Approximation Factor (if approximate algorithm),Heuristic-based?,Parallel?,"# of
Processors",Quantum?,GPU-based?,Other References,Problem Statement,Notes,"Algorithm family
parameters",Description of Inputs,Ratios of input parameter sizes,Space n = 1000 value,Space n = 1000 rate,Space n = 10^6 value,Space n = 10^6 rate,Space n = 10^9 value,Space n = 10^9 rate,n = 1000 value,n = 1000 scale,n = 1000 Rate,n = 10^6 value,n = 10^6 scale,n = 10^6 Rate,n = 10^9 value,n = 10^9 scale,n = 10^9 Rate,Starting Complexity,Remarks,Papers for ratio evaluations,Domains
1,Sorting,1,,,,,,,,,,,"Deo, Sarkar",1991,https://www.sciencedirect.com/science/article/pii/002002559190028S,,,,,,,,O(n/p log(n/p) + (n/p + log p log n)log(n/p),O(log^2(n)) ?,,O(n log(n/p) + (n + p log p log n)log(n/p),,,"n: size of list
p: number of processors",,,,EREW PRAM,,,,,,,,,,,,,,1,p,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,1,,,,,,,,,,,"Parallel Quicksort - Chlebus, Vrt'o",1991,https://www.sciencedirect.com/science/article/pii/074373159190040G,,,,,,,,O(log n) w/ high probability,O(log n) expected,,O(n log n) expected,,,n: size of list,,,,CRCW PRAM,,,,,,,,,1,,,,,1,n,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,1,Comparison Sorting,10,,,1,1,O(nlogn),,,"[https://www.sciencedirect.com/science/article/pii/0196677492900166?via%3Dihub Cube Sort Parallel Implementation - Cypher, Sanz (1992)]","Cube Sort Parallel Implementation - Cypher, Sanz",1992,https://www.sciencedirect.com/science/article/pii/0196677492900166?via%3Dihub,,,,0,0,4,n: 4,$O(n log^2 n / (p log (n/p))$,$O(n log^2 n / (p log (n/p))$,https://www.sciencedirect.com/science/article/pii/0196677492900166?via%3Dihub,,https://www.sciencedirect.com/science/article/pii/0196677492900166?via%3Dihub,,"n: size of list
p: number of processors",n,,,Parallel RAM,words,3,n: 3,O(n),(can be easily derived),1,0,,0,,0,,0,1,p,0,0,https://en.wikipedia.org/wiki/Cubesort,A sorting algorithm is an algorithm that puts elements of a list in a certain order.,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,0,,,,,,,,,,,"Varman, Doshi",1992,https://www.computer.org/csdl/journal/tc/1992/01/t0097/13rRUILLkD1,,,,,,,,O((n log n/p)+log/sup 2/ p),,,,,,"n: size of list
p: number of processors",,,,,,,,,,,,,,,,,,,p,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,1,,,,,,,,,,,"Parallel sorting by regular sampling (PSRS) - Shi, Schaeffer",1992,https://www.sciencedirect.com/science/article/pii/074373159290075X,,,,,,,,O(n/p log n),0 (n/p log(n/p) + n/p log p + p log (n/p) + p^2 log p^2) = ??,,O(n),https://www.sciencedirect.com/science/article/pii/016781919390019H,assymptotically optimal when n>=p^3,"n: size of list
p: number of processors",,,,MIMD,,,,,,,,,,,,,,1,p,,,"classified as ""merge based single-step"" in https://dl.acm.org/doi/pdf/10.1145/181014.192329",,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,0,,,,,,,,,,,"MeshSort (generalized Bitonic and Shear Sort) - Corbett, Scherson",1992,https://www.computer.org/csdl/journal/td/1992/05/l0626/13rRUxly9dj,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,1,Non-comparison (? integer) sorting,,,,,,,,,,"Rajesekaran, Sen",1992,https://www.cse.iitd.ac.in/~sSen/journals/acta.pdf,,,,,,,,O(n log n logloglog n / (p loglog n)),O(log n logloglog n),,O(n log n logloglog n / loglog n),,yes,"n: size of list
p: number of processors",,,,CRCW and EREW PRAM,,,,,,,,,,,,,,1,p<=n/loglog(n),,,"space complexity = O(n)
also gives another (randomized) algo ",,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,1,Comparison Sorting,,,,,,O(log n / log k),,,,"Hagerup, Raman (comparsion)",1992,https://pure.mpg.de/pubman/faces/ViewItemOverviewPage.jsp?itemId=item_1834884,,,,,,,,O(log n / log k) w/ high probability,O(1) expected,,O(kn log n /log k) expected,,,"n: size of list
2<=k<=n",,,,arbitrary CRCW PRAM,,,,,,,,,1,,,,,1,kn,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,1,Non-comparison (? integer) sorting,,,,,,O(log*n),,,,"Hagerup, Raman (random ints)",1992,https://pure.mpg.de/pubman/faces/ViewItemOverviewPage.jsp?itemId=item_1834884,,,,,,,,O(log*n) w/ high probability,O(log*n) expected,,O(n) expected,https://pure.mpg.de/pubman/faces/ViewItemOverviewPage.jsp?itemId=item_1834884,,n: size of list,,,,OR CRCW PRAM,,,,,,,,,1,,,,,1,,,,space complexity = O(n),,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,1,Non-comparison (? integer) sorting,,,,,,O(1),,,,"Hagerup, Raman (ints in range)",1992,https://pure.mpg.de/pubman/faces/ViewItemOverviewPage.jsp?itemId=item_1834884,,,,,,,,O(1) w/ high probability,O(1) expected,,O(n) expected,,,"n: size of list
integers in range 1..n",,,,OR CRCW PRAM,,,,,,,,,1,,,,,1,n,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,1,Non-comparison (? integer) sorting,,,,,,O(loglog n/log k),,,,"Hagerup, Raman (ints in range, stable)",1992,https://pure.mpg.de/pubman/faces/ViewItemOverviewPage.jsp?itemId=item_1834884,,,,,,,,O(loglog n/log k) w/ high probability,O(1) expected,,O(kn loglog n/log k) expected,,,"n: size of list
integers in range 1..n
2<=k<=log n",,,,OR CRCW PRAM,,,,,,,,,1,,,,,1,kn,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,1,Non-comparison (? integer) sorting,,,,,,,,,,"Chen, Das",1992,https://www.sciencedirect.com/science/article/pii/002001909290078A,,,,,,,,O(n/p +log n),O(log n),https://www.sciencedirect.com/science/article/pii/002001909290078A,O(n),,yes,"n: size of list
p: number of processors",,,,EREW PRAM,,,,,,,,,,,,,,1,O(p),,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,1,,,,,,,,,,,"Padded-sort - Hagerup, Raman",1993,https://dl.acm.org/doi/pdf/10.1145/165231.157380,,,,,,,,n log n/log k (loglog k)^5(2^(O(log*n-log*k+1))),O(n (loglog n)^5) ?,,kn^2 log n/log k (loglog k)^5(2^(O(log*n-log*k+1))),,,"n: size of list
4<k<n",,,,"CRCW PRAM (TOLERANT PRAM submodel, also works on ARBITRARY and PRIORITY PRAMs)",,,,,,,,,,,,,,,kn,,,also includes approximate and random algos,,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,0.001,Comparison sorting,,,,,,,,,,"Kale, Krishnan",1993,https://ieeexplore.ieee.org/abstract/document/4134268,,,,,,,,local sort time + ceiling(log_k(p))O(log n)(time per histogram) + data movement and merging,,,,,,,,,,MIMD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,1,,,,,,,,,,,"Vaidyanathan, Hartmann, Varshney",1993,https://ieeexplore.ieee.org/abstract/document/262880,,,,,,,,O(t(n) log m),O(t(n) log m),,O(m t(n)p(n)/log n),,,"n: size of list
m: size (in bits) of numbers (lower bounded by log(n) and upper bounded by poly of n)
p(n) and t(n): number of processors  and time needed for deterministic algo to sort n log(n)-bit numbers stably (integer sort) on the specific PRAM submodel",,,,PRAM,,,,,,,,,,,,,,,mp(n)/(log n log m),,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,0.001,,,,,,,,,,,"Snakesnort: Normal sort - Blackston, Ranade (best for cubes)",1993,https://ieeexplore.ieee.org/abstract/document/4134269,,,,,,,,O(k log k) + k(log N +1),,,O(Nk log k),,,"p=2^n: nodes
each node holds k keys
k lower bounded by N^2log N
=>kN: size of list",,,,sorting network (requires hamiltonian path),,,,,,,,,,,,,,1,N,,,"classified as ""merge based multi-step"" in https://dl.acm.org/doi/pdf/10.1145/181014.192329",,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,0.001,,,,,,,,,,,"Snakesnort: Gray sort - Blackston, Ranade (best for meshes)",1993,https://ieeexplore.ieee.org/abstract/document/4134269,,,,,,,,O(k log k) + k(2 log N),,,O(Nk log k),,,"N=2^n: nodes
each node holds k keys
k lower bounded by Nlog N
=>kN: size of list",,,,sorting network (requires hamiltonian path),,,,,,,,,,,,,,1,N,,,"classified as ""merge based multi-step"" in https://dl.acm.org/doi/pdf/10.1145/181014.192329",,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,0.001,,,,,,,O(k log k) +k(2 n^(1/2) + o(n^(1/2))),,,,"Snakesnort: Fast Shearsort - Blackston, Ranade",1993,https://ieeexplore.ieee.org/abstract/document/4134269,,,,,,,,O(k log k) +k(2 n^(1/2) + o(n^(1/2))) w/ high probability,,,,,,"N: nodes
each node holds k keys
k lower bounded by N^(1/2)logN
=>kN: size of list",,,,sorting network (requires hamiltonian path),,,,,,,,,1,,,,,1,N,,,"classified as ""merge based multi-step"" in https://dl.acm.org/doi/pdf/10.1145/181014.192329",,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,0.001,Comparison sorting,,,,,,,,,,"T&B sort - Tridgell, Brent",1993,https://openresearch-repository.anu.edu.au/handle/1885/40793,,,,,,,,,,,,,yes (experimentally),"n: size of list
p: number of processors",,,,MIMD,,,,,,,,,,,,,,,p,,,"classified as ""merge based multi-step"" in https://dl.acm.org/doi/pdf/10.1145/181014.192329",,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,1,,,,,,,,,,,"generalized bitonic sort - Liszka, Batcher",1993,https://ieeexplore.ieee.org/abstract/document/4134122?casa_token=cM5nTlnQteIAAAAA:kjHWCIc38Nd4SBQs76oK3j-6jsAIXuIM-m_cT3J9kU5wa4Y55SqT--IrK7EOsder37jZYEWC_w,,,,,,,,O(log^2(n)),O(log^2(n)),,O(n log^4(n),,,n: size of list,,,,sorting network,,,,,,,,,,,,,,1,O(n log^2(n)),,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,0,,,,,,,,,,,"Chen, Reif",1993,https://ieeexplore.ieee.org/abstract/document/366877,,,,,,,,O(log n) expected,,,,,,"n: size of list
L: max length of each key (L<=n^O(1))
H: binary entropy",,,,CRCW PRAM,,,,,,,,,,,,,,1,O(n log (log n/H)/log n),,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,0.001,"Comparison sorting, Non-comparison sorting",,,,,,,,,,"Parallel Sorting by OverPartitioning (PSOP) - Li, Sevcik (Quicksort / PQOP)",1994,https://dl.acm.org/doi/pdf/10.1145/181014.192329,,,,,,,,CQn log n /p+CQpsk log(psk)+CQpk log(pk) +2t_r psk/W +t_r n/(pW),,,,,,"C: constant factor in quicksort
Q: unit cost in quicksort
n: size of list
p: number of processors
s: oversampling ratio
k: overpartitioning ratio
t_r: mean time to access remote memory
W: number of integers per cache line",,,,,,,,,,,,,,,,,,1,p,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,0.001,"Comparison sorting, Non-comparison sorting",,,,,,,,,,"Parallel Sorting by OverPartitioning (PSOP) - Li, Sevcik (Radix sort / PROP)",1994,https://dl.acm.org/doi/pdf/10.1145/181014.192329,,,,,,,,R_b n/p +R_b ceilling((32-H)/B)n/p+CQ(H-1)2^(H-1)+2t_r ps/W+t_r n/(pW),,,,,,"R_b: unit cost in b-bit radix sort
n: size of list
p: number of processors
H: corresponds to first H bits, smaller than cache size ??
B: corresponds to the B bits radix sort performs on ??
C: constant factor in quicksort
Q: unit cost in quicksort
t_r: mean time to access remote memory
s: oversampling ratio
W: number of integers per cache line",,,,,,,,,,,,,,,,,,1,p,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,0.001,,,,,,,,,,,"Chien, Oruc",1994,https://ieeexplore.ieee.org/abstract/document/285603,,,,,,,,,,,,,,,,,,"""new model"": adaptive sorting network",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,0.001,,,,,,,,,,,"Gordillo, Luna",1994,https://ieeexplore.ieee.org/abstract/document/400129,,,,,,,,O(2n-3),O(2n-3),,O(n^2) ?,,,n: size of list,,,,Cellular automata (CA) machine,,,,,,,,,,,,,,1,n,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,0,,,,,,,,,,,"Chen, Chen",1994,https://ieeexplore.ieee.org/document/286307/citations#citations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,0,,,,,,,,,,,"Gibbons, Matias, Ramachandran",1994,https://dl.acm.org/doi/abs/10.1145/181014.181382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,1,Non-comparison (? integer) sorting,,,,,,,,,,Han and Shen,1995,https://link.springer.com/chapter/10.1007/BFb0030847,,,,,,,,"O(n log log min(m,n)/p + log n)",O(log n),,"O(n min(log log n, log log m/log n))",https://link.springer.com/chapter/10.1007/BFb0030847,yes,"n: size of list
p: number of processors
0<=ints<=m-1",,,,CRCW PRAM; arbitrary CRCW PRAM,,,,,,,,,,,,,,1,p,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,0,,,,,,,,,,,"Bast, Hagerup",1995,https://www.infona.pl/resource/bwmeta1.element.elsevier-27dbeebf-1d67-3c08-a222-c630ae81af5c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,1,,,,,,,,,,,"Das, Sinha",1995,https://ieeexplore.ieee.org/abstract/document/395908,,,,,,,,3n^(1/3) log(n^(1/3))+14n^(1/3)+O(n^(1/3)),3n^(1/3) log(n^(1/3))+14n^(1/3)+O(n^(1/3)),,3n^(4/3) log(n^(1/3))+14n^(4/3)+O(n^(4/3)),,,n: size of list,,,,"Multi-Mesh network, SIMD",,,,,,,,,,,,,,1,n,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,0,,,,,,,,,,,"Andersson, Hagerup, Nilsson, Raman",1995,https://dl.acm.org/doi/pdf/10.1145/225058.225173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,1,,,,,,,,,,,"MM-sort - Zhang, Zheng",1995,https://ieeexplore.ieee.org/abstract/document/530744?casa_token=fWv_XUrk-IsAAAAA:VrU2_Uiu4y99b7ZD6KtQPQ4JDX6-zWPqwFlrtWs8pl3FDAd4YtsmHuOi4MQC9bURA7xhuf9g5g,,,,,,,,O(n/p log p),O(log n),,O(n log p),,,"n: size of list
p: number of local queues // number of processors equivalent",,,,fixed-size sorting network (inner sorter),,,,,,,,,,,,,,1,p,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,0.001,,,,,,,,,,,"Louri, Hatch, Na",1995,https://opg.optica.org/ao/fulltext.cfm?uri=ao-34-17-3087&id=45402,,,,,,,,O(1),,,,,,n: size of list,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,1,,,,,,,,,,,"Jang, Prasanna",1995,https://www.sciencedirect.com/science/article/abs/pii/S0743731585710271,,,,,,,,O(1),O(1),,O(n^2),,,n: size of list,,,,sorting network (reconfigurable mesh),,,,,,,,,,,,,,1,n^2,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,0,,,,,,,,,,,"Goldberg, Zwick",1995,https://ieeexplore.ieee.org/abstract/document/377028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,1,Comparison sorting,,,,,,,,,,Goodrich,1996,https://dl.acm.org/doi/pdf/10.1145/237814.237870,,,,,,,,O(n log(n)/p + (L+gn/p)(log(n)/(log(n/p))),O(log n) ?,,O(n log(n) + (Lp+gn)(log(n)/(log(n/p))),,yes ,"n: size of list
p: number of processors
g: time “gap” between consecutive messages received by a
processor in a communication round
L: worst-case time needed to send one processor-to-processor message (network latency)",,,,"Bulk-Synchronous Parallel (BSP)
[has section on comp model]",,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,1,,,,,,,,,,,"Goodrich, Kosaraju (1)",1996,https://dl.acm.org/doi/abs/10.1145/226643.226670,,,,,,,,O(log n),O(log n),,O(n log n),,,n: size of list,,,,CREW Parallel Pointer Machine (PPM),,,,,,,,,,,,,,1,O(n),,,O(n) space complexity,,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,1,,,,,,,,,,,"Goodrich, Kosaraju (2) (modified from CREW to EREW)",1996,https://dl.acm.org/doi/abs/10.1145/226643.226670,,,,,,,,O(log n),O(log n),,O(n log n),,,n: size of list,,,,EREW PPM,,,,,,,,,,,,,,1,O(n),,,O(n) space complexity,,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,1,,,,,,,,,,,"Gerbessiotis, Siniolakis",1996,https://dl.acm.org/doi/pdf/10.1145/237502.237561,,,,,,,,(1+floor(e(1-e)^(-1))(e/2) +o(1))(T_seq/p) computation + O(gT_seq/(p log n)) communication = O(n log n/p) computation + O(g n/p) communication ?,O(log n)  computation + O(g) communication ?,,O(n log n) computation + O(gn) communication,,yes,"n: size of list
p: number of processors
0<e<1
g: ratio of the total throughput of the system
T_seq: time required by sequential computation",,,,BSP,,,,,,,,,,,,,,1,p,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,0,,,,,,,,,,,"Olariu, Schwing",1996,https://www.sciencedirect.com/science/article/abs/pii/S0743731596900155,,,,,,,,O(1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,1,,,,,,,,,,,Jianxian,1996,https://link.springer.com/article/10.1007/BF02900871,,,,,,,,O(n log n/p) + O(n),O(n),,O(n log n),,,"n: size of list
p: number of processors",,,,sorting network (hypercube),,,,,,,,,,,,,,1,p,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,0,,,,,,,,,,,"JaJa, Ryu, Vishkin",1996,https://www.sciencedirect.com/science/article/pii/0304397594002630,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,0,,,,,,,,,,,"Levcopoulus, Petersson",1996,https://www.sciencedirect.com/science/article/pii/0304397595002561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,0.001,,,,,,,,,,,Shear-sort - De et al.,1997,https://ieeexplore.ieee.org/abstract/document/628397,58,,https://ieeexplore.ieee.org/abstract/document/628397,,,,,O(n^(1/4)),O(n^(1/4)),,,,,,,,,SIMD,,,,,,,,,,,,,,1,sqrt(n) ??,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,1,Non-comparison (? integer) sorting,,,,,,,,,,"Albers, Hagerup (1)",1997,https://www.sciencedirect.com/science/article/pii/S0890540197926328,,,,,,,,"O(t)
t>=log n loglog n",O(log n loglog n),,O(n sqrt(log n loglog n) + n log^2(n)/t),https://www.sciencedirect.com/science/article/pii/S0890540197926328,,"n: size of list
t>=log n loglog n
0<=ints<=n",,,,EREW PRAM,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,1,Non-comparison (? integer) sorting,,,,,,,,,,"Albers, Hagerup (2)",1997,https://www.sciencedirect.com/science/article/pii/S0890540197926328,,,,,,,,"O(t)
t>=log n",O(log n),,O(n sqrt(log n) + n log n/2^(t/log n)),https://www.sciencedirect.com/science/article/pii/S0890540197926328,,"n: size of list
0<=ints<=n
t>=log n",,,,CREW PRAM,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,1,Non-comparison (? integer) sorting,,,,,,,,,,"Albers, Hagerup (3)",1997,https://www.sciencedirect.com/science/article/pii/S0890540197926328,,,,,,,,O(log^2(n)),O(log^2(n)),,O(n),https://www.sciencedirect.com/science/article/pii/S0890540197926328,,"n: size of list
0<=ints<=m",,,,"EREW PRAM
(nonstandard  word length of O(log n loglog n log m) bits",,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,1,,,,,,,,,,,"Jang, Kim",1997,https://ieeexplore.ieee.org/abstract/document/651519,,,,,,,,O(4^k),O(4^k),,O(4^k n^(k+1)),,,n^k: size of list,,,,sorting network,,,,,,,,,,,,,,1,n^(k+1),,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,1,randomized,,,,,,,,,,"variation of sample sort - Helman, Bader, JaJa",1998,https://www.sciencedirect.com/science/article/abs/pii/S0743731598914629; https://api.drum.lib.umd.edu/server/api/core/bitstreams/2997ecff-e9a8-4d9f-8b87-b3706834bd51/content,,,,,,,,"O(n/p log(n)) ?
""with high probability""",O(tau) ? might be a constant?,,O(nlog(n)),,lots of experimental data,"n: size of list
p: number of processors
p^2<n/(3ln(n))",,,,,,,,,,,,,,,,,,1,p,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,0,,,,,,,,,,,"Helman, Bader, JaJa",1998,https://dl.acm.org/doi/abs/10.1145/297096.297128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,0.001,,,,,,,,,,,"Load Balanced Parallel Radix Sort - Sohn, Kodama",1998,https://dl.acm.org/doi/pdf/10.1145/277830.277903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,0,,,,,,,,,,,"Hayashi, Nakano, Olariu",1998,https://ieeexplore.ieee.org/abstract/document/674319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,1,,,,,,,,,,,"ZZ-sort - Zheng, Calidas, Zhang",1999,https://link.springer.com/article/10.1023/A:1008173729055,,,,,,,,O(n/p log p (f(p)+log(n/p)),O(log n f(n)),,O(n log p (f(p)+log(n/p)),,,"n: size of list
p: number of processors
n>=p
f(p): time to sort p elements, one per processor",,,,"""distributed memory parallel computer""",,,,,,,,,,,,,,1,p,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,1,,,,,,,,,,,"Zhang, Zheng",1999,https://downloads.hindawi.com/archive/2000/014617.pdf,,,,,,,,O(n/p log p),O(log n),,O(n log p),,,"n: size of list
p: number of queues =number of processors",,,,(fixed-size) sorting network,,,,,,,,,,,,,,1,p,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,0.001,Non-comparison sorting,,,,,,,,,,"partitioned parallel radix (PPR) sort - Lee, Jeon, Sohn, Kim",2000,https://link.springer.com/chapter/10.1007/3-540-39999-2_14 (page 176 of pdf),,,,,,,,ceilling(b/g) rounds,,,ceilling(b/g)*p + communication,,,"n: size of list
p: number of processors
b: number of bits in integer keys
g: group of bits used each round",,,,distributed-memory multiprocessors,,,,,,,,,,,,,,1,p,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,0,,,,,,,,,,,Han,2001,https://www.sciencedirect.com/science/article/pii/S0890540101930536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,0,,,,,,,,,,,"Gerbessiotis, Siniolakis",2001,https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=a867d950e57eacf0da9dd17cc80073f124d438ce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,0.001,,,,,,,,,,,Cerin,2002,https://ieeexplore.ieee.org/abstract/document/1015576,,,,,,,,,,,,,,,,,,"""parallel disk model (PDM)""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,0,,,,,,,,,,,"Han, Shen",2002,https://epubs.siam.org/doi/abs/10.1137/S0097539799352449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,0,,,,,,,,,,,Canturk,2002,https://www.proquest.com/docview/2665127548?pq-origsite=gscholar&fromopenview=true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,1,,,,,,,,,,,"load balanced parallel merge sort - Jeon, Kim",2003,https://link.springer.com/article/10.1023/A:1021734202931,,,,,,,,k_1 n/p log p + k_2 (n/p + delta) log p,O(log n),,k_1 n log p + k_2 (n + p delta) log p,,,"n: size of list
p: number of processors
k_1: average time to transmit one key
k_2: average time per key to merge keys
delta: load imbalance / number of keys over n/p that a processor has to merge",,,,PRAM ?,,,,,,,,,,,,,,1,p,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,1,,,,,,,,,,,"Chen, Levcopoulos",2005,https://link.springer.com/chapter/10.1007/3-540-55895-0_452,,,,,,,,O(log n),O(log n),,O(n log n),https://link.springer.com/chapter/10.1007/3-540-55895-0_452,"yes, optimal in respect to Osc","n: size of list
Osc(x): number of oscillations in sequence x (the list)",,,,arbitrary CRCW PRAM,,,,,,,,,,,,,,1,O(n/log(n) log(Osc(x)/n)),,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,1,,,,,,,,,,,"Cheng, Shah, Gilbert, Edelman",2007,https://sites.cs.ucsb.edu/~gilbert/cs140resources/old/cs140Win2011/slides/ViralParallelSort.pdf,,,,,,,,"O(n log n /p + gn/p +log n max(L,gp^2 log(n))","O(log n max(L,gp^2 log(n)) ?",,"O(n log n + gn +log n max(Lp,gp^3 log(n))",,yes,"n: size of list
p: number of processors
L: minimum amount of time between subsequent rounds of communication
g: measure of bandwidth in time per message size",,,,BSP,,,,,,,,,,,,,,1,p,,,Space complexity: O(p^2 +n/p),,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,1,,,,,,,,,,,"partition and concurrent merging (PCM) - Herruzo, Ruiz, Benavides, Plata",2007,https://ieeexplore.ieee.org/abstract/document/4135254,,,,,,,,O(n/p log (n/p)) + O(n),O(n),,O(n log (n/p) +np),,yes,"n: size of list
p: number of processors",,,,sorting network ?,,,,,,,,,,,,,,1,p,,,,,,,,,,,,,,,,,,,,,,,,,,,
